"","jobpost_id","job_name","job_qty","age_min","age_max","study_field","job_qualification","min_salary","job_description","manychat_id","job_sex","study_level","work_exp","created","updated","confirmed","batch","location","utm_x","utm_y","utm_zone_number","utm_zone_letter","job_type","online"
"1",54,"Facebook Marketing",3,22,26,"-","อ่าน เขียน ภาษาอังกฤษ ได้ดี",30000,"ทำการตลาดทางช่องทาง facebook",3961592380577625,3,5,1,2020-06-07 09:00:36,2020-06-08 09:05:23,2020-06-07 09:00:36,FALSE,"บางนา",674486.484249617,1511131.01756457,47,"P",NA,NA
"2",66,"แอดมิน",1,25,32,"แฟชั่น","ตอบคำถาม ภาษาอังกฤษได้ เข้าใจ รู้เรื่อง
มีประสบการณ์ด้านการขายสินค้าแฟชั่น หรือ สินค้าแม่และเด็ก",12000,"แอดมินดูแล เพจ เสื้อผ้า แม่ลูก 
ตอบ คำถามลูกค้า
แพคของ
ส่งของ 
เช็คสต๊อกสินค้า",2984968911590219,3,5,0,2020-06-14 23:12:35,2020-06-14 23:12:35,2020-06-14 23:12:35,FALSE,"รามอินทรา 65",678167.246718213,1532008.27335091,47,"P",NA,NA
"3",33,"Accountant",1,29,35,"-","Tax",20000,"ดูแลเอกสารรับจ่าย ภาษี",2941175142599132,2,5,3,2020-05-29 14:21:22,2020-05-29 14:21:22,2020-05-29 14:21:22,FALSE,"พระรามเก้า ซอย 60",676504.490173327,1519744.8950465,47,"P",0,FALSE
"4",34,"แคชเชียร์ร้านชานมไข่มุก",2,20,35,"-","รับผิดชอบ
ซื่อสัตย์
ไว้ใจได้
หัวไว",13000,"-ดูแลเงินของร้าน
-ใช้เครื่องposในการรับออเดอร์และคิดเงิน
-ปิดยอดขายแต่ละวัน
-เอาเงินเข้าฝากแบงค์",3416290838400501,2,0,1,2020-05-29 14:21:22,2020-05-30 09:01:38,2020-05-29 14:21:22,FALSE,"ห้าง ริเวอร์ไซด์ พลาซ่า เจริญนคร ชั้น 1 ใน้ บันไดเลื่อน",661251.692150225,1515611.32630264,47,"P",0,FALSE
"5",35,"คนยกของ
แคชเชียร์",2,20,35,"-","ไม่า",10000,"คนยกของ ยกแอร์และสินค้าต่างๆตามออเดอร์

แคชเชียร์ ทำการขายสินค้าผ่านโปรแกรมสำเร็จรูป",2996583690454927,3,2,0,2020-05-29 14:21:22,2020-05-29 14:21:22,2020-05-29 14:21:22,FALSE,"เมืองชลบุรี",714943.710536664,1477934.26635955,47,"P",0,FALSE
"6",36,"พนักงานขายของ",5,19,40,"-","ไม่ต้อง",15000,"ขายของในห้าง",2506970779404968,3,2,0,2020-05-29 14:21:22,2020-05-30 09:52:10,2020-05-29 14:21:22,FALSE,"กรุงเทพ",662362.802498579,1521284.04988614,47,"P",0,FALSE
"7",28,"Programer",3,28,120,"-","ไม่ต้องมี",15000,"เขียน Python",2945944152161824,3,3,0,2020-05-29 14:21:22,2020-05-29 14:21:22,2020-05-29 14:21:22,FALSE,"โรงพยาบาลกุมภวาปี",289301.519281513,1892245.14479489,48,"Q",0,FALSE
"8",32,"ผู้ช่วยผู้จัดการศูนย์กระจายสินค้า",1,28,40,"จัดการผักผลไม้สด (หากไม่มีประสบการณ์สามารถเรียนรู้ได้)​","มีใบขับขี่",12000,"ใช้งาน Microsoft Excel ได้ ควบคุมระบบเบิกจ่ายสินค้า Stock วางแผนงานในคลัง ร่วมพัํฒนาระบบงาน สามารถทำงานร่วมกันเป็นทีม",2993516674076262,3,4,3,2020-05-29 14:21:22,2020-05-29 14:21:22,2020-05-29 14:21:22,FALSE,"คลองสอง คลองหลวง​ ปทุมธานี​",677284.182856825,1555407.94021628,47,"P",0,FALSE
"9",30,"Contact centet",5,20,40,"-","ตอบ chat ได้ไทยอังกฤษจะดีมาก",11500,"Customer support. เว็บไซต์อีคอมเมิร์ซ ตอบทาง chat",3866407633432358,3,4,0,2020-05-29 14:21:22,2020-05-30 08:00:29,2020-05-29 14:21:22,FALSE,"อโศก",668972.142618837,1519918.151014,47,"P",0,FALSE
"10",55,"พนักงานทำบัญชี ที่ senior",1,25,45,"จบสาขา บัญชี หีอมีประสบการณ์เคยทำมาก่อน","ผ่านงาน บัญชี",25000,"สามารถทำงานได้หลากหลาย นอกเหนือจากบัญชึ เช่น งานบริการ งาน HR
ชอบการพัฒนาและการเรียนรู้สิ่งใหม่เนื่องจากบริษัท เป็น health technology ที่ปรับเปลี่ยน model และสินค้า บริการให้ทันกับสถาณการณ์
มีความอดทนและกล้าที่จะแสดงความึดเห็น",3540097652673051,3,5,3,2020-06-07 13:06:08,2020-06-08 13:17:32,2020-06-07 13:06:08,FALSE,"ลาดพร้าว",673877.684647291,1528864.2171672,47,"P",NA,NA
"11",67,"วิศวกรรมเครื่องกล, วิศวกรรมเหมืองแร่, ธรณีสำรวจ, เคมีวิเคราะห์, บัญชีและการเงิน, คงคลัง, ธุรการ, ช่างเครื่องกล, วิศวกรไฟฟ้า, ช่างไฟฟ้า, ผู้คุมไซต์งาน",22,30,45,"เจาะจง","มีทักษะภาษาอังกฤษ ถ้าชายผ่านการเกณฑ์ทหารแล้ว สามารถทำงานต่างประเทศได้",50000,"ทำงานในไซต์งานที่เหมืองประเทศแซมเบียตามตำแหน่งที่ประกาศรับสมัคร",3685008894849869,3,5,3,2020-06-16 12:46:44,2020-06-16 12:46:44,2020-06-16 12:46:44,FALSE,"แซมเบีย แอฟริกา",592056.136628342,8547901.98999491,35,"L",NA,NA
"12",68,"พนักงานขาย",10,21,30,"-","- มีใบขับขี่รถยนต์
- ผ่านการเกณฑ์ทหาร",20000,"ค่ะ",2810566689055738,3,4,0,2020-06-16 13:53:05,2020-06-16 13:54:19,2020-06-16 13:53:05,FALSE,"112/3 หมู่ 7 ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540",272040.540058759,1288870.04739106,48,"P",NA,NA
"13",37,"พนักงานขับรถส่งของ",1,18,50,"-","มีใบขับขี่",10300,"ขับรถส่งของภายในเขตกรุงเทพและต่างจังหวัด (ไม่มีขับข้ามคืน)",2911962935568829,3,0,0,2020-05-29 14:21:22,2020-05-30 13:32:04,2020-05-29 14:21:22,FALSE,"บางบอน",651327.757748643,1510472.90573871,47,"P",0,FALSE
"14",18,"แคชเชียร์ร้านอาหาร",1,25,40,"-","ถ้าสื่อสารภาษาอังกฤษกับลูกค้าได้จะพิจารณาเป็นพิเศษ",12000,"รับออเดอร์ลูกค้า
ลงออเดอร์ในคอม
สรุปยอดขาย รายจ่ายแต่ละวัน",2957428040977436,2,2,1,2020-05-29 14:21:22,2020-05-29 14:21:22,2020-05-29 14:21:22,FALSE,"ซอยนราธิวาส 3",665516.288539663,1517750.76331251,47,"P",0,FALSE
"15",12,"คนงานแพ็คของ",2,18,28,"-","ขับรถมอไซต์ได้",12000,"เป็นงานแพ็คของออเดอร์ออนไลน์ ใช้คอมพิวเตอร์เป็นจะดีมากเพราะต้องคีย์ออเดอร์ด้วยค่ะ",3431394170215089,2,2,1,2020-05-29 14:21:22,2020-05-29 14:21:22,2020-05-29 14:21:22,FALSE,"เรวดี68 นนทบุรี",661745.7526952,1532540.53524085,47,"P",0,FALSE
