Employer_OrganizationName,Employer_EmployerName,Employer_Telephone,Employer_Email,email_quality
สจจ.ประจวบคีรีขันธ์,บริษัท โกลเด้นซี 2018 จำกัด (โรงแรม Golden Sea),032-900841,supit.sr@goldenseahuahin.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท โกลเด้น โดนัท (ประเทศไทย) จำกัด,02-2615375,hr_recruit2@goldendonuts.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,หจก.นันทิญา/สาขาถ. ณ ระนอง,03-3502982-4,xxx@xxx.com,0
สจจ.สุรินทร์,บริษัท เคอรี่ เอ็กซ์เพรส (ประเทศไทย) จำกัด สุรินทร์,"063-2187986,093-8207966",Rattana.Wonglakhorn@kerrylogistics.com,1
สจจ.นครปฐม,ทาโกฟู้ดส์อินดัสทรี จำกัด,034388455,data_center@takofoods.com,1
สจจ.กระบี่,บริษัท แฟลช เอ็กซ์เพรส จำกัด (สาขาเมืองกระบี่),0639401403,Saideksa_061@hotmail.com,1
สจจ.สมุทรปราการ,บริษัท สแตนดาร์ด แมนูแฟคเจอริ่ง จำกัด,02-7093704-9,Bunnadai@standardmanu.com,1
สจจ.ประจวบคีรีขันธ์,บจก.ลาซาด้า เอ็กซ์เพรส (ประจำศูนย์กระจายสินค้า อ.หัวหิน),081-8543590,dussadee.khamworn@lazada.co.th,1
สจจ.นนทบุรี,ศูนย์รับสมัครขับแกร็บ (Grab) สาขาบางใหญ่,0632355363,grabbangyai@gmail.com,1
สจจ.ศรีสะเกษ,หจก.คูโบต้าศรีสะเกษเลาเจริญ,062-1983370,iyarat.34jai@gmail.com,1
สจจ.กาญจนบุรี,บริษัท เอสเอ็นพี ฟู้ด กาญจนบุรี จำกัด,034518999,xxx@gmail.com,0
สจจ.เชียงใหม่,บริษัท ผึ้งน้อยเบเกอรี่ จำกัด,"053-218406-8 ,412591-2",HR.Phungnoi@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท คิเนติค เอ็นจิเนียริ่ง จำกัด,02-8735550,info@kinetic.co.th,1
สจจ.ชลบุรี,บริษัท ศรีราชา ทักโบ๊ต จำกัด (สาขาชลบุรี),038-351421-5 ต่อ106,123@hotmil.com,0
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด กิมเชียงวัสดุก่อสร้าง,045-243287,kcc.34000@gmail.com,0
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด กิมเชียงวัสดุก่อสร้าง,045-243287,kcc.34000@gmail.com,0
สจจ.นครราชสีมา,วชิรสกุลอนันต์ จำกัด,0948294535,xxxxxx@hotmail.com,0
สจจ.นครสวรรค์,บริษัท ย่ง ยู่ เส็ง จำกัด,0909824464,xxx@xxx.com,0
สจจ.สงขลา,บริษัท เอ็น เอส โคลด์ สโตเรจ จำกัด,074-336990-2,NS_JOB@HOTMAIL.COM,1
สจจ.ลำพูน,บริษัทสยามแม็คโคร จำกัด (มหาชน) สาขาลำพูน,053-581285,hrm34@siammakro.co.th,1
สจจ.สุราษฎร์ธานี,บมจ.สยามแม็คโคร สาขาสุราษฎร์ธานี,077-905911-22,hrm13@siammakro.co.th,1
สจจ.กาญจนบุรี,บริษัท สยามแม็คโคร จำกัด (มหาชน) สาขากาญจนบุรี,034699609,hrm46@siammakro.co.th,1
สจจ.ปทุมธานี,บริษัท แอร์ คอนด์ คอนซัลแตนท์ จำกัด (ปทุมธานี),02-9013616-7,hr@aircond.co.th,1
สจจ.ปทุมธานี,พล้านท์ อิเตอร์เทรด(PLANT INTERTRADE),081-8746002,plant_intertrade@yahoo.com,1
สจจ.ปทุมธานี,บจก.ยัม เรสเทอรองตส์ อินเตอร์เนชั่นแนล (ปทท.) สาขาไทวัสดุ-ปทุมธานี,063- 230-4551,ptt_doe@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท สันติทิพย์ อุตสาหกรรม จำกัด,02-8725463,xxx_xx@xxx.xx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท เอส. พี. พลาสติก อินดัสตรี จำกัด,02-4260595-6,xx_xxx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท เอ.พี.วาย. เอ็นจิเนียริ่ง จำกัด,028182995,personal@apyeng.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บ. ค้ำจุนเทพ  จำกัด,02-848-1905-6,xx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท ไฮ-เทค แอพพาเรล จำกัด (สนญ.ทุ่งครุ),02-4799188,xxx_xx@hotmail.com,0
สจจ.นครราชสีมา,บริษัท  สยามเฟล็กแพ็ค  จำกัด (นครราชสีมา),044-212551-4 ต่อ 223/224,sfc-pn1@siamflexpack.co.th,1
สจจ.สงขลา,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน) สาขาหาดใหญ่,074-803131,hr20@homepro.co.th,1
สจจ.บุรีรัมย์,บริษัท ห้องเย็นสมพงษ์  จำกัด,086-3008480,nongnuch_my@hotmail.com,1
สจจ.มหาสารคาม,หจก.สุชาญ เคมีภัณฑ์,0885726324,suchan.chamipan@gmail.com,1
สจจ.กำแพงเพชร,บริษัท โอลิมปัส ออยล์ จำกัด (สาขาทรงธรรม กำแพงเพชร),064-7072296,kptdoe@gmail.com,1
สจจ.สุพรรณบุรี,บริษัท เอฟแอนด์เอฟฟู้ด จำกัด,089502520,hr@f-ffood.com,1
สจจ.ชุมพร,บริษัทชุมพรโอเชี่ยนกรุ๊ป จำกัด,077504105,hr.oceanchumphon@gmail.com,1
สจจ.ชุมพร,บริษัท แพลำภู ชุมพร จำกัด,0857850685,lumpoo.hr@gmail.com,1
สจจ.ชลบุรี,บริษัท เอ็กซเพิร์ท สเปเชียลตี้ จำกัด,038-066-488,123@hotmail.com,0
สจจ.ชลบุรี,บริษัท ไทย โอนลี่ วัน แมเนจ แอนด์ เซอร์วิส จำกัด,038-111977,123@hotmail.com,0
สจจ.สิงห์บุรี,การุณ บราเธอร์ส จำกัด,0-3669-2700,hr02@karoonbrothers.com,1
สจจ.ฉะเชิงเทรา,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด สาขาฉะเชิงเทรา,0813718307,00@gmail.com,1
สจจ.ฉะเชิงเทรา,บริษัท สยามแม็คโคร จำกัด (มหาชน),081-6418262,hrm.40@siammakro.co.th,1
สจจ.ร้อยเอ็ด,บริษัทโตไกพีอี จำกัด,0844535364,TOKATPE@HOTMAIL.COM,1
สจจ.สุพรรณบุรี,บริษัทเบทาโกรเกษตรอุตสาหกรรม จำกัด สาขา สุพรรณบุรี,02523600,apassarink@betagro.com,1
สจจ.ประจวบคีรีขันธ์,บริษัท ปราณบุรีโฮเตอิ จำกัด,032-621103-4 ต่อ 103,koy_pkn@hotmail.com,1
สจจ.ประจวบคีรีขันธ์,บจก.ไทยเจริญแทรคเตอร์ 2018,032-513903,koy_pkn@hotmail.com,1
สจจ.ประจวบคีรีขันธ์,บริษัท มาสด้า ประจวบ จำกัด,032-621111,koy_pkn@hotmail.com,1
สจจ.ปัตตานี,คลินิกเมตตารักษาสัตว์,073-333170,xxx@xxx.xx,0
สจจ.ปัตตานี,ห้างหุ้นส่วนจำกัดโรงน้ำแข็งบ้านติง,073333743,xx@xxx.com,0
สจจ.ลำพูน,บริษัทสยามแม็คโคร จำกัด (มหาชน) สาขาลำพูน,053-581285,hrm34@siammakro.co.th,1
สจจ.ลำปาง,พิพิธภัณฑ์เซรามิคธนบดี,054-221103,-@hotmail.com,0
สจจ.ลำพูน,บริษัทไพโอเนีย ไฮ-เบรด (ไทยแลนด์) จำกัด (ลำพูน),053-569005,waraporn.kitiwiang@pioneer.com,1
สจจ.ลำพูน,บริษัท ไทยไปป์ภาคเหนือ จำกัด (ลำพูน),053-5814123,xxx@xxx.xxx,0
