"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
108155540902749_161573888894247,https://www.facebook.com/sakubot/posts/161573888894247,"📌คืนนี้ (วันพุธที่ 15 กรกฏาคม 2563) ตั้งแต่เวลา 23:59 น. เป็นต้นไป
สาคูจะทำการปิดปรับปรุงเพื่อทำการพัฒนาระบบครั้งใหญ่ ⚙️ 

ทำให้หลังจากนี้บอทจะใช้งานไม่ได้ ถ้าทางทีมงานปรับปรุงระบบเสร็จแล้ว สาคูจะมาแจ้งที่หน้าเพจอีกที 
ขออภัยในความไม่สะดวกด้วยนะ 😊",Status,,,"07/15/2020 09:32:49 AM"," ",142,142,0,155,155,0,6,4,4,0,0,110,104,0,0,5,0,0,0,0,0,0,0,0,0,0,2,,,2,,,4,,,,4,,,,,,,
108155540902749_160999402285029,https://www.facebook.com/sakubot/posts/160999402285029,,Photo,,,"07/13/2020 10:53:50 PM"," ",124,124,0,147,147,0,4,2,2,0,0,111,91,0,0,4,0,0,0,0,0,0,0,0,0,0,3,,,3,,,1,1,,,1,1,,,,,,
108155540902749_146331823751787,https://www.facebook.com/sakubot/posts/146331823751787,"หนัง 9 เรื่องที่จะช่วยสร้างแรงบันดาลใจให้กับคนที่กำลังหางาน 📽🎞

ถึงแม้ว่าตอนนี้มาตรการล็อกดาวน์ต่างๆก็จะเริ่มคลี่คลายแล้ว แต่สาคูก็เข้าใจครับถ้าหากคุณยังรู้สึกกังวลใจ หรือ อยู่ในช่วงกำลังเตรียมตัวเผชิญหน้ากับความท้าทายในใหม่ๆที่อาจจะเกิดขึ้นในยุค New normal 

เพราะฉะนั้นวันนี้ สาคูมาพร้อมกับหน้า 9 เรื่องที่จะช่วยให้คุณได้ลองมองต่างมุม และ ได้รับกำลังใจดีๆให้พร้อมสู้ต่อไป

อยากรู้ว่ามีเรื่องอะไรบ้าง ตามไปดูได้เลยค้าบบบ......

ถ้าได้แรงฮึบแล้วอยากจะ&quot;หางาน&quot;หรือ&quot;ฝากงาน&quot;ก็เข้ามาคุยกับสาคูได้เลยนะครับ

&gt;&gt; คุยกับแชทบอทได้เลยที่ : m.me/sakubot &lt;&lt; 

 #งาน #สมัครงาน #SakuJobbot #Sakuกูรูงาน  #หางานง่ายๆ
#ส้มหยุดงานไม่หยุด #หางานช่วงโควิด #หางานหลังโควิด
#หางาน #หาคนงาน #รับสมัครคนว่างงาน #หางานออนไลน์ #thaijob",Photo,,,"06/15/2020 01:00:17 AM"," ",2819,2819,0,3163,3163,0,184,151,201,0,0,396,308,0,0,44,0,0,0,0,0,0,0,0,0,0,39,9,5,43,10,7,44,128,4,,64,132,5,,,,,
108155540902749_129028772148759,https://www.facebook.com/sakubot/posts/129028772148759,"งานเป็นสิ่งที่มนุษย์ในยุคปัจจุบันขาดไม่ได้ ถ้าเราไม่มีงานเราก็จะไม่มีเงิน แล้วถ้าไม่มีเงินเราก็จะไม่สามารถดำรงชีวิตอยู่ได้ และไม่สามารถแสวงหาความสุขส่วนตัวได้ แต่ถ้าเราจะมีงานทำเราก็ต้องมีช่องทางในการหางาน และในมุมที่กลับกันถ้าบริษัทจะหาลูกจ้าง บริษัทก็จะต้องประชาสัมพันธ์ตนเองเช่นกัน เรามาย้อนเวลากลับไปกันดีกว่าครับ ว่าการ “โฆษณางาน” เริ่มมาจากที่ไหนและในอนาคตการหางานจะเป็นอย่างไร

ในช่วงศตวรรษที่ 19 หนังสือพิมพ์เป็นช่องทางการสื่อสารที่ใหญ่มาก และเป็นช่องทางการโฆษณางานที่ดีกว่ายุคสมัยปฏิวัติอุตสาหกรรมมากๆ เพราะแทนที่จะพูดกล่าวกันปากต่อปาก การนำงานไปโฆษณาทางหนังสือพิมพ์ทำให้งานถูกประชาสัมพันธ์ได้กว้างขวางมาก แต่ในเวลาเดียวกัน วิธีนี้เป็นวิธีที่สามารถสือสารได้เพียงทางเดียว และ ยังมีราคาแพงอีกด้วย

เวลาผ่านมาและเราก็มาอยู่ในช่วง 1990 เมื่ออินเทอร์เน็ตเริ่มมีการใช้แพร่หลาย ก็ทำให้การหางานถูกย้ายจากหนังสือพิมพ์มาอยู่ออนไลน์ ทำให้การเข้าถึงคนนั้นเพิ่มขึ้นมหาศาล เพราะตำแหน่งที่คุณอยู่นั้นไม่มีผลถ้าคุณสามารถเข้าใช้อินเตอร์เน็ตได้ 

ใกล้เข้ามาสู่ปัจจุบันอีกยุคหนึ่งคือช่วงปี 2010 และ social media ก็เริ่มยึดครองโลกได้ ทุกคนใช้เวลาส่วนใหญ่อยู่บน social media ตลอดเวลา ตั้งแต่ LinkedIn, Google, Facebook หรือแม้แต่ twitter ก็สามารถถูกใช้ในการหางานได้ ซึ่งข้อดีของ social media เมื่อเทียบกับการหางานบนอินเตอร์เน็ตทั่วไปคือเราสามารถกำหนดกลุ่มเป้าหมายชัดเจนได้ และยังสามารถสื่อสารไปกลับได้อย่างง่ายดายอีกด้วย

และเราก็มาถึงปัจจุบันในปี 2020 ที่ COVID-19 ทำให้ทุกคนอยู่บ้านและไม่สามารถไปสมัครงานได้ พวกเราทีมสาคูจึงได้สร้างบอทที่จะช่วยให้คุณหางานได้ตรงกับความสนใจของคุณโดยไม่ต้องทำอะไรมากเลย เพียงแค่คุณเข้าไปสู่แชทบอทของเรา แล้วกรอกข้อมูลเล็กน้อย ระบบของเราก็จะหางานที่น่าจะตรงต่อใจคุณได้เลย คุณสามารถเริ่มได้เลยตอนนี้เพียยงแค่ทักเข้าไปใน messenger ของเพจเรา และที่สำคัญทั้งหมดนี้ฟรีครับ

เขียนโดย: @adminprompt
บรรณาธิการ: ทีมสาคู

อ้างอิง:
[1]: https://www.smartrecruiters.com/blog/the-history-of-job-ads/
[2]: https://www.staffingsoft.com/ssblog/the-history-of-job-advertising/",Photo,,,"06/07/2020 06:00:36 AM"," ",555,555,0,632,632,0,30,21,31,0,0,264,213,0,0,16,0,0,0,0,0,0,0,0,0,0,13,,,13,1,,16,6,,,23,8,,,,,,
108155540902749_127966515588318,https://www.facebook.com/sakubot/posts/127966515588318,"เวลาทำงานเราก็ย่อมจะมีเพื่อนร่วมงานหลายๆแบบ หลากหลายรสชาติ บางคนก็ดูใจกว้างเหมือนแม่น้ำ บางคนก็ทำการแสดงดูยิ่งใหญ่มาก ตลกเฮฮา บางคนถึงทำงานดูเล็กๆแต่ก็มีความละเอียดและเป็นรูปธรรมมากๆ บางคนก็มีความคิดสร้างสรรค์สูงมากมีความคิดที่เป็นระบบ เปี่ยมไปด้วยจินตนาการ เรามาดูกันดีกว่าว่าเราเป็นสาคูรสชาติแบบไหนด้วย quiz นี้เลยครับ
https://freaklab.org/elementor-3713/?fbclid=IwAR01DsbgQJqbIHdln_a_1Ups4mKkAm25nPgpqJbMdulnHGqjp1nWAHtmJZA

*แบบทดสอบนี้ออกแบบมาจากไอเดีย 4 temperaments ของ plato",Photo,,,"06/05/2020 06:00:45 AM"," ",756,756,0,930,930,0,104,82,117,0,0,388,288,0,0,65,0,0,0,0,0,0,0,0,0,0,32,5,2,36,5,2,23,71,9,,36,72,9,,,,,
108155540902749_126698169048486,https://www.facebook.com/sakubot/posts/126698169048486,"โฮ่ง ๆ 

ทีมงาน “สาคู” กำลังมองหาอาสาสมัครคนเก่งมาร่วมงานกับเรา!

หากมีความรู้และประสบการณ์ในเรื่อง Python, Docker, Google Cloud Platform และ SQL และสนใจทำงานเพื่อสังคมเพื่อช่วยคนที่หางานในช่วงโควิด ... พวกเราอยากจีบคุณ ❤️
 
#มีงานประจำก็ทำได้
#ทำงานจากที่ไหนก็ได้

ติดต่อ : nutchanon@codustry.com
มาเป็นครอบครัวสาคูกัน! บรู๊วววว!",Photo,,,"06/02/2020 10:16:37 PM"," ",8181,8181,0,9402,9402,0,369,299,405,0,0,535,346,0,0,61,0,0,0,0,0,0,0,0,0,0,100,25,8,132,29,13,265,52,,,351,54,,,,,,
108155540902749_125475812504055,https://www.facebook.com/sakubot/posts/125475812504055,"วิธีหางานแบบใหม่ล่าสุด สำหรับยุคนี้!!!
เพียงแค่ทักแชท  Saku Bot: &quot;สาคู กูรูงาน&quot; บอทที่จะช่วยให้คุณ “หางาน” และ “หาคนทำงาน” ได้ง่ายๆผ่านเฟสบุ๊คแชท กับ งานกว่า 50,000+ ต่ำแหน่งที่รอคุณอยู่
🗺 วิธีการใช้ทำงาน สำหรับสายหางาน 🗺
▪️ เลือก “หางาน  🥊”
▪️  ให้ข้อมูลเบื้องต้นเกี่ยวกับตัวคุณ
▪️ อยากได้งานย่านไหน? จะตอบเป็นจังหวัด หรือ สถานที่ชื่อดังแถวบ้านก็ได้เลยนะ
▪️ ช่วงเงินเดือนที่ต้องการ
▪️ สายงานที่สนใจ
พอแล้วดีกว่าไม่สปอยหมด เดียวไม่สนุก อย่างรู้ว่าสาคูจะถามอะไรต่อ ลองทักมาคุยได้เลยนะคร้าบบบ
&gt;&gt; คุยกับแชทบอทได้เลยที่ : m.me/sakubot &lt;&lt; 
ฝากไลค์ฝากแชร์ให้เพื่อนๆพี่ๆที่กำลังหางานกันอยู่ด้วยนะค้าบ
จากทีมผู้ร่วมงาน: Covid Bot Freak Lab (KMUTT), JSTP Scholarship Student Alumni, Codustry, Lukkid, MIT Media Lab, และ Upski
#COVID19 #FutureofWork #Chatbot #CovidBot #หางาน #งาน #สมัครงาน #SakuJobbot #Sakuกูรูงาน  #หางานง่ายๆ
#ส้มหยุดงานไม่หยุด #หางานช่วงโควิด #หางานหลังโควิด
#หางาน #หาคนงาน #รับสมัครคนว่างงาน #หางานออนไลน์ #thaijob #สาคูกูรูงาน #น้องหมาสาคู #สาคู #saku #หางานใกล้บ้าน #เด็กจบใหม่ #หางานทำ #หางานกรุงเทพ #หางานต่างจังหวัด #ว่างงาน",Video,,,"06/01/2020 08:08:23 PM"," ",1845,1845,0,2344,2344,0,161,142,192,0,0,254,169,0,0,27,22,22,0,0,93,103,0,0,4762,34286,22,6,2,22,6,3,100,,50,11,125,,54,13,,,,
108155540902749_122261759492127,https://www.facebook.com/sakubot/posts/122261759492127,"📌คืนนี้ (อาทิตย์ที่ 31 พฤษภาคมม 2563) 

สาคูจะทำการปิดปรับปรุงระบบ ⚙️ ตอน 22:00 น. ถึงเวลาประมาณ 24:00 น. ขอความกรุณาอย่าเพิ่งใช้งานบอทในช่วงเวลาดังกล่าวด้วยนะ

ขออภัยในความไม่สะดวก 😊",Status,,,"05/31/2020 07:48:50 AM"," ",395,395,0,447,447,0,17,8,9,0,0,266,223,0,0,15,0,0,0,0,0,0,0,0,0,0,11,,,11,,,8,,,,9,,,,,,,
108155540902749_120959022955734,https://www.facebook.com/sakubot/posts/120959022955734,"คุณกำลังหางาน หรือต้องการรับสมัครงานอยู่รึเปล่า?
.
ลองแชทได้เลยที่ Saku Bot: &quot;สาคู กูรูงาน&quot; บอทที่จะช่วยให้คุณ “หางาน” และ “หาคนทำงาน” ได้ง่ายๆผ่านเฟสบุ๊คแชท กับ งานกว่า 50,000+ ต่ำแหน่ง ที่รอให้คุณเข้ามาค้นพบ
.
ด้วยการตอบคำถามง่ายๆ เกี่ยวกับตัวคุณ ไม่ว่าจะเป็นคุณต้องการงานสายใด? เงินเดือนเท่าไหร?  อยู่ย่านไหน? ฯลฯ
.
&gt;&gt; คุยกับแชทบอทได้เลยตอนนี้ที่ : m.me/sakubot &lt;&lt; 
เรามีตั้งแต่งานขาย ไปจนถึงงานสายวิทย์ สายศิลป์ และอีกมากมายลองเข้ามาคุยกันนะครับบบบ

จากทีมผู้ร่วมงาน: Covid Bot Freak Lab (KMUTT), JSTP Scholarship Student Alumni, Codustry, Lukkid, MIT Media Lab, และ Upski
#COVID19 #FutureofWork #Chatbot #CovidBot",Photo,,,"05/29/2020 03:43:49 AM"," ",1988,1988,0,2223,2223,0,105,64,80,0,0,405,322,0,0,50,0,0,0,0,0,0,0,0,0,0,48,8,,61,9,,33,15,20,,42,17,21,,,,,
